gid,tipo_recorrido,cantidad_paradas,linea_ramal,lng,lat
1524,IDA,1,105-A 105-B,-58.783095999999844,-27.446218000007995
1505,IDA,,108 AB,-58.852561999999864,-27.473599000008019
1506,IDA,,108 AB,-58.849290999999873,-27.468834000008027
1509,IDA,,108 AB,-58.849915999999872,-27.475430000008014
1510,IDA,,108 AB,-58.852460999999877,-27.47511500000801
1515,IDA,,104 B,-58.840885999999855,-27.494437000008027
1520,VUELTA,,104 B,-58.841043999999854,-27.494270000008022
1521,IDA,,102 C,-58.834040999999864,-27.464412000008025
1522,IDA,,108 AB,-58.850051999999856,-27.473810000008026
1523,IDA,,108 AB,-58.849765999999882,-27.470886000008008
1518,VUELTA,,104 B,-58.845618999999871,-27.470206000008019
1517,,,103 A - 104 A - 104 C - 104 D - 102 A - 102 C - 108 AB - 110 A - 110 C- SANTA CATALINA,-58.838250999999858,-27.469856000008033
1513,IDA,,104 A,-58.826056999999857,-27.463037000008008
1514,,,104 B,-58.845523999999877,-27.474890000008021
1516,,,103 B - 103 C - 105 C - 106 ABC,-58.832360999999864,-27.462554000008019
1512,VUELTA,,101 BC- 102 AB - 106 ABC - 108 C,-58.834372999999864,-27.466743000008009
1508,,,104 AB - 108 AB,-58.845890999999874,-27.475992000008016
1511,IDA,,104 B,-58.844423999999876,-27.46821900000802
1507,,,103 D - 104 AB - 105 C - 108 C - 109 AB,-58.829101999999864,-27.465981000008028
39,VUELTA,6,105-A 105-B 105-C-PERICHON 105-C-250VIV 102-A 104-B,-58.830375342625416,-27.469325132745968
40,VUELTA,6,105-A 105-B 105-C-250VIV 105-C-PERICHON 102-A 101-B 101-C,-58.825767056114422,-27.469815557945513
41,VUELTA,5,105-A 105-B 102-A 101-B 101-C,-58.822353861306304,-27.470136081945171
42,VUELTA,5,105-A 105-B 102-A 101-B 101-C,-58.820198706301134,-27.470352586444953
44,VUELTA,5,105-A 105-B 108-A-B 101-B 101-C,-58.81645492929222,-27.470725162044573
46,VUELTA,4,105-A 108-A-B 101-B 101-C,-58.813344404984782,-27.471070831744282
47,VUELTA,3,105-A 101-B 101-C,-58.811014717257464,-27.47168855371579
48,VUELTA,3,105-A 101-B 101-C 110-A,-58.808440831507383,-27.472283465884992
49,VUELTA,1,105-A,-58.805903705767008,-27.471902232743524
50,VUELTA,1,105-A,-58.805034083265305,-27.469030508843552
51,VUELTA,1,105-A,-58.801673107757338,-27.468933614043227
52,VUELTA,4,105-A 105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.798932226211257,-27.468980323517506
53,VUELTA,4,105-A 105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.797391689493196,-27.468594746417523
54,VUELTA,4,105-A 105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.795607124343022,-27.468179410442652
55,IDA,1,105-A,-58.777142629900638,-27.456559578041304
56,VUELTA,4,105-A 105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.792724330159771,-27.467434788517341
57,VUELTA,4,105-A 105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.791086430848345,-27.467037801922849
58,VUELTA,3,105-A 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.78781674996501,-27.466280296635571
59,VUELTA,3,105-A 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA 110-A,-58.785877484491074,-27.465789123486172
60,VUELTA,3,105-A 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.783743727529391,-27.465238319979782
61,VUELTA,3,105-A 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA 110-A,-58.782657366270364,-27.464961316857142
62,VUELTA,3,105-A 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-58.780404139490059,-27.464401776420448
63,VUELTA,3,105-A 105-C-250VIV 105-C-PERICHON,-58.778094551186513,-27.463830077329369
64,VUELTA,3,105-A 105-C-250VIV 105-C-PERICHON,-58.776324639897844,-27.463368952340939
65,IDA,1,105-A,-58.776463444198818,-27.458308629841159
66,VUELTA,1,105-A 110-A,-58.775200207595425,-27.461441869040904
67,VUELTA,1,105-A,-58.776193463098153,-27.458446847341119
68,VUELTA,1,105-A 110-A,-58.776852615999935,-27.45666912954125
69,VUELTA,1,105-A 110-A,-58.777540854101794,-27.454819578741404
71,VUELTA,1,105-A,-58.779057810905975,-27.45010207604173
72,VUELTA,1,105-A,-58.77946207010708,-27.4489553478418
73,VUELTA,1,105-A,-58.780284670109296,-27.446807904241961
74,VUELTA,1,105-A,-58.778560596405271,-27.446188649241847
75,VUELTA,1,105-A,-58.778736700205791,-27.445551876041858
76,IDA,1,105-A,-58.775422663295977,-27.461310776040936
77,VUELTA,1,105-A,-58.779355619907427,-27.444161653641984
78,IDA,3,105-A 105-C-250VIV 105-C-PERICHON 110-A,-58.774869402263704,-27.462744807091759
79,IDA,3,109-A 109-B-YECOHA 104-C,-58.829589790718749,-27.509922545544359
80,IDA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.811432995776173,-27.504859624542807
83,VUELTA,2,109-A 109-B-YECOHA,-58.830291973706238,-27.466038910186786
85,VUELTA,11,109-A 109-B-YECOHA 102-B 102-C 103-A 103-B 103-D 103-C-ESPERANZA-PUERTO 106-A 106-B 106-C,-58.831078249026639,-27.473047619845904
86,VUELTA,11,109-A 109-B-YECOHA 102-C 102-B 103-D 103-A 103-C-ESPERANZA-PUERTO 103-B 106-A 106-B 106-C,-58.831307242626927,-27.47513915614584
87,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.830763676225445,-27.476850573045724
88,VUELTA,5,109-A 109-B-YECOHA 103-D 103-C-ESPERANZA-PUERTO 103-B,-58.830048616023625,-27.477869644845597
89,VUELTA,5,109-A 109-B-YECOHA 103-D 103-B 103-C-ESPERANZA-PUERTO,-58.828798874320469,-27.479445945545429
90,VUELTA,6,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO 110-A,-58.826353621714297,-27.48253543124509
91,IDA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.812693634079537,-27.50194934394306
92,VUELTA,5,109-A 109-B-YECOHA 103-D 103-B 103-C-ESPERANZA-PUERTO,-58.824219337708925,-27.485221160644773
93,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO 110-B,-58.820493581699488,-27.490052908744239
94,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.819330341196476,-27.492206387344041
95,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.818117251354963,-27.494065600673274
96,VUELTA,5,109-A 109-B-YECOHA 103-D 103-B 103-C-ESPERANZA-PUERTO,-58.817097402190761,-27.49560801514372
97,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO 110-B,-58.815408700086451,-27.498033570243461
98,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.814172453183296,-27.499799888643281
99,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.812908378380037,-27.502002820443057
100,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.811644219776674,-27.504949897642842
101,IDA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.813987296982866,-27.499770803443251
102,VUELTA,5,109-A 109-B-YECOHA 103-B 103-D 103-C-ESPERANZA-PUERTO,-58.810698489674117,-27.507592711742653
124,IDA,3,109-A 109-B-YECOHA 104-C 105-C-250VIV 105-C-PERICHON,-58.817562341709653,-27.467161990581122
140,IDA,2,109-A 109-B-YECOHA,-58.777180432199856,-27.463614961241017
141,IDA,2,109-A 109-B-YECOHA 103-A,-58.820053630783036,-27.508891780616253
143,IDA,2,109-A 109-B-YECOHA,-58.773196779030663,-27.462606198484504
144,IDA,2,105-C-PERICHON 109-A 109-B-YECOHA,-58.764990127471471,-27.459194848439985
146,IDA,2,105-C-PERICHON 109-A 109-B-YECOHA,-58.755357225249526,-27.451966043639271
148,IDA,1,109-A,-58.750394468038181,-27.448635242938916
149,IDA,1,109-A,-58.74830150683318,-27.448912516338705
