stop_id,stop_name,stop_lat,stop_lon,stop_desc
1,105-A 105-B,-27.446218000007995,-58.78309599999984,105-A 105-B
2,108 AB,-27.473599000008015,-58.85256199999986,108 AB
3,108 AB,-27.468834000008027,-58.84929099999987,108 AB
4,108 AB,-27.47543000000801,-58.84991599999987,108 AB
5,108 AB,-27.47511500000801,-58.85246099999988,108 AB
6,104 B,-27.494437000008027,-58.840885999999855,104 B
7,104 B,-27.494270000008022,-58.841043999999854,104 B
8,102 C,-27.464412000008025,-58.83404099999986,102 C
9,108 AB,-27.473810000008022,-58.850051999999856,108 AB
10,108 AB,-27.470886000008008,-58.84976599999988,108 AB
11,104 B,-27.470206000008016,-58.84561899999987,104 B
12,103 A - 104 A - 104 C - 104 D - 102 A - 102 C - 108 AB - 110 A - 110 C- SANTA CATALINA,-27.469856000008036,-58.83825099999986,103 A - 104 A - 104 C - 104 D - 102 A - 102 C - 108 AB - 110 A - 110 C- SANTA CATALINA
13,104 A,-27.463037000008008,-58.82605699999986,104 A
14,104 B,-27.47489000000802,-58.84552399999988,104 B
15,103 B - 103 C - 105 C - 106 ABC,-27.462554000008016,-58.83236099999986,103 B - 103 C - 105 C - 106 ABC
16,101 BC- 102 AB - 106 ABC - 108 C,-27.46674300000801,-58.83437299999986,101 BC- 102 AB - 106 ABC - 108 C
17,104 AB - 108 AB,-27.475992000008016,-58.845890999999874,104 AB - 108 AB
18,104 B,-27.46821900000802,-58.84442399999988,104 B
19,103 D - 104 AB - 105 C - 108 C - 109 AB,-27.46598100000803,-58.82910199999986,103 D - 104 AB - 105 C - 108 C - 109 AB
20,105-A 105-B 105-C-PERICHON 105-C-250VIV 102-A 104-B,-27.46932513274597,-58.830375342625416,105-A 105-B 105-C-PERICHON 105-C-250VIV 102-A 104-B
21,105-A 105-B 105-C-250VIV 105-C-PERICHON 102-A 101-B 101-C,-27.469815557945516,-58.825767056114415,105-A 105-B 105-C-250VIV 105-C-PERICHON 102-A 101-B 101-C
22,105-A 105-B 102-A 101-B 101-C,-27.470136081945167,-58.822353861306304,105-A 105-B 102-A 101-B 101-C
23,105-A 105-B 102-A 101-B 101-C,-27.470352586444957,-58.820198706301134,105-A 105-B 102-A 101-B 101-C
24,105-A 105-B 108-A-B 101-B 101-C,-27.470725162044573,-58.81645492929222,105-A 105-B 108-A-B 101-B 101-C
25,105-A 108-A-B 101-B 101-C,-27.47107083174428,-58.81334440498478,105-A 108-A-B 101-B 101-C
26,105-A 101-B 101-C,-27.47168855371579,-58.81101471725746,105-A 101-B 101-C
27,105-A 101-B 101-C 110-A,-27.472283465884992,-58.808440831507376,105-A 101-B 101-C 110-A
28,105-A,-27.471902232743524,-58.80590370576701,105-A
29,105-A,-27.469030508843552,-58.805034083265305,105-A
30,105-A,-27.468933614043227,-58.80167310775734,105-A
31,105-A 105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-27.468980323517503,-58.79893222621126,105-A 105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA
